Art form,Region,Endangered,Festivals/Events,UNESCO Listed,latitude,longitude
Kutiyattam (Sanskrit theatre),"Kerala, Thrissur",Yes,Temple theatre performances (Kuttampalams),Yes,10.5303, 76.2147
Tradition of Vedic chanting,"All India (Maharashtra, Kerala, Karnataka, Odisha)",Yes,Hindu rituals (yajna ceremonies),Yes,20.0, 78.0
Ramlila (Ramayana theatre),Uttar Pradesh (Ayodhya and North India),No,Dussehra festival (Navaratri),Yes,26.80, 82.20
Ramman (Garhwal folk theatre),"Uttarakhand (Saloor‐Dungra, Pauri Garhwal)",Yes,"Ramman festival (late April, Saloor-Dungra)",Yes,30.00, 78.00
Chhau dance (Purulia style),"West Bengal (Purulia), Jharkhand (Saraikela), Odisha (Mayurbhanj)",Yes,Chaitra Parva spring festival,Yes,23.3423, 86.3628
Kalbelia (Rajasthan folk dance),Rajasthan (Udaipur/Udaipur or Udaipur zone),Yes,Holi festival,Yes,24.5800, 73.6915
Mudiyettu (Kerala ritual theatre),Kerala (Thrissur/Ernakulam),No,Bhagavati temple rituals (post-harvest festivals),Yes,10.5276, 76.2147
Buddhist chanting (Ladakh),Ladakh (Jammu & Kashmir; Leh),No,Buddhist ceremonies in monasteries,Yes,34.1526, 77.5770
Sankirtana (Manipur),Manipur (Imphal),No,Vaishnava rituals and life-cycle ceremonies,Yes,24.8139, 93.9503
Thatheras (brass/copper craft),"Punjab (Jandiala Guru, Amritsar)",Yes,Ritual utensils for weddings/temples,Yes,31.5568, 75.1479
Nawroz (Parsi New Year),"India (Parsi communities, e.g. Mumbai)",No,Parsi New Year festival (March 21),Yes,19.075984, 72.877656
Yoga (Indian Yoga tradition),"India (nationwide, e.g. New Delhi)",No,International Yoga Day (June 21),Yes,28.6139, 77.2090
Kumbh Mela,"India (Haridwar, Prayagraj, Ujjain, Nashik)",No,Pilgrimage bathing festival (every 3–4 years),Yes,29.9457, 78.1642 
Durga Puja (Kolkata),West Bengal (Kolkata),No,Annual Durga Puja festival (Sep–Oct),Yes,22.5726, 88.3639
Garba of Gujarat,Gujarat (Ahmedabad),No,Navaratri (nine nights of Garba dance),Yes,23.0225, 72.5714
Indigo dyeing (traditional),Assam (Sivasagar),Yes,–,No,26.9800, 94.6299
Assamese jewellery (traditional),Assam (Jorhat),Yes,–,No,26.7500, 94.2200
Mirizhim (Mishing bride trousseau),Assam (Majuli/Manjuli),Yes,–,No,26.7500, 94.0000
Natural dyeing (Khasi),Assam (Majuli area),Yes,–,No,26.7500, 94.0000
Saphe Lamphee (embroidery),Manipur (Imphal),Yes,–,No,24.8139, 93.9503
Lashingphee (embroidered quilt),Manipur (Imphal),Yes,–,No,24.8139, 93.9503
Natural block printing (Imphal),Manipur (Imphal),Yes,–,No,24.8139, 93.9503
Miniature painting (Deccan),Telangana (Hyderabad),Yes,–,No,17.3850, 78.4867
Cherial painting,Telangana (Cherial),Yes,–,No,17.9203, 79.0029
Raja Rani Dolls,Andhra Pradesh (Tirupati),Yes,–,No,13.6291, 79.4244
Temple Kalamkari,Tamil Nadu (Kumbakonam),Yes,–,No,10.9602, 79.3845
Temple applique,Tamil Nadu (Madurai),Yes,–,No,9.9390, 78.1217
Gesso work (Bikaner),Rajasthan (Bikaner),Yes,–,No,28.0167, 73.3119
Kavad (portable shrine),Rajasthan (Bassi),Yes,–,No,28.3700, 73.8800
Danka (embroidery),Rajasthan (Udaipur),Yes,–,No,24.5713, 73.6915
Rogan painting,Gujarat (Nirona),Yes,–,No,23.3469, 69.2609
Warak printing,Rajasthan (Udaipur),Yes,–,No,24.5713, 73.6915
Mend ki chappai,"Rajasthan (Sanganer, Jaipur)",Yes,–,No,26.8221, 75.7744
Split ply-braiding,Rajasthan (Thar region),Yes,–,No,26.9117, 70.9240
Pithora painting,Madhya Pradesh (Jhabua),Yes,–,No,22.7670, 74.5000
Hand block printing (Tarapur/Jawad),Madhya Pradesh (Jhabua),Yes,–,No,22.7670, 74.5000
Sanjhi crafts (paper cutting),Uttar Pradesh (Mathura),Yes,–,No,27.4913, 77.6737
Cuttacki chappals,Odisha (Barang),Yes,–,No,20.4625, 85.8820
Horn craft,Odisha (Cuttack),Yes,–,No,20.4625, 85.8820
Ganjeefa cards,Odisha (Sonepur),Yes,–,No,20.8333, 83.9167
Wood toys,Odisha (Bargarh),Yes,–,No,21.3426, 83.6242
Copper snake,Odisha (Boudh),Yes,–,No,20.8400, 84.3200
Namda (felt carpet),J&K (Srinagar),Yes,–,No,34.0837, 74.7974
Pinjrakari (woodcraft),J&K (Srinagar),Yes,–,No,34.0837, 74.7974
Pottery (Kashmiri style),J&K (Srinagar),Yes,–,No,34.0837, 74.7974
Silver ware (Kashmiri),J&K (Srinagar),Yes,–,No,34.0837, 74.7974
Tapestry (Kashmiri embroidery),J&K (Srinagar),Yes,–,No,34.0837, 74.7974
Wagu (reed mat),J&K (Srinagar),Yes,–,No,34.0837, 74.7974
Chamba Rumal (double-sided embroidery),Himachal Pradesh (Chamba),Yes,–,No,32.5553, 76.1265
Suri Bowl (metalware),West Bengal (Birbhum),Yes,–,No,23.9100, 87.5270
